time | time (millisecond),membrane | V (millivolt)
1427,-86.2531
1428,-86.2544
1429,-86.2556
1430,-86.2567
1431,-86.2579
1432,-86.2591
1433,-86.2603
1434,-86.2614
1435,-86.2626
1436,-86.2637
1437,-86.2648
1438,-86.2659
1439,-86.267
1440,-86.2681
1441,-86.2692
1442,-86.2703
1443,-86.2713
1444,-86.2724
1445,-86.2734
1446,-86.2745
1447,-86.2755
1448,-86.2765
1449,-86.2775
1450,-86.2785
1451,-86.2795
1452,-86.2805
1453,-86.2815
1454,-86.2824
1455,-86.2834
1456,-86.2843
1457,-86.2853
1458,-86.2862
1459,-86.2871
1460,-86.288
1461,-86.2889
1462,-86.2898
1463,-86.2907
1464,-86.2916
1465,-86.2925
1466,-86.2933
1467,-86.2942
1468,-86.2951
1469,-86.2959
1470,-86.2967
1471,-86.2976
1472,-86.2984
1473,-86.2992
1474,-86.3
1475,-86.3008
1476,-86.3016
1477,-86.3024
1478,-86.3031
1479,-86.3039
1480,-86.3047
1481,-86.3054
1482,-86.3062
1483,-86.3069
1484,-86.3076
1485,-86.3084
1486,-86.3091
1487,-86.3098
1488,-86.3105
1489,-86.3112
1490,-86.3119
1491,-86.3126
1492,-86.3133
1493,-86.314
1494,-86.3146
1495,-86.3153
1496,-86.3159
1497,-86.3166
1498,-86.3172
1499,-86.3179
1500,-86.3185
1501,-86.3191
1502,-86.3198
1503,-86.3204
1504,-86.321
1505,-86.3216
1506,-86.3222
1507,-86.3228
1508,-86.3234
1509,-86.324
1510,-86.3246
1511,-86.3251
1512,-86.3257
1513,-86.3263
1514,-86.3268
1515,-86.3274
1516,-86.3279
1517,-86.3285
1518,-86.329
1519,-86.3296
1520,-86.3301
1521,-86.3306
1522,-86.3311
1523,-86.3317
1524,-86.3322
1525,-86.3327
1526,-86.3332
1527,-86.3337
1528,-86.3342
1529,-86.3347
1530,-86.3351
1531,-86.3356
1532,-86.3361
1533,-86.3366
1534,-86.3371
1535,-86.3375
1536,-86.338
1537,-86.3384
1538,-86.3389
1539,-86.3393
1540,-86.3398
1541,-86.3402
1542,-86.3407
1543,-86.3411
1544,-86.3415
1545,-86.3419
1546,-86.3424
1547,-86.3428
1548,-86.3432
1549,-86.3436
1550,-86.344
1551,-86.3444
1552,-86.3448
1553,-86.3452
1554,-86.3456
1555,-86.346
1556,-86.3464
1557,-86.3468
1558,-86.3472
1559,-86.3475
1560,-86.3479
1561,-86.3483
1562,-86.3486
1563,-86.349
1564,-86.3494
1565,-86.3497
1566,-86.3501
1567,-86.3504
1568,-86.3508
1569,-86.3511
1570,-86.3515
1571,-86.3518
1572,-86.3522
1573,-86.3525
1574,-86.3528
1575,-86.3532
1576,-86.3535
1577,-86.3538
1578,-86.3541
1579,-86.3544
1580,-86.3548
1581,-86.3551
1582,-86.3554
1583,-86.3557
1584,-86.356
1585,-86.3563
1586,-86.3566
1587,-86.3569
1588,-86.3572
1589,-86.3575
1590,-86.3578
1591,-86.3581
1592,-86.3583
1593,-86.3586
1594,-86.3589
1595,-86.3592
1596,-86.3595
1597,-86.3597
1598,-86.36
1599,-86.3603
1600,-86.3605
1601,-86.3608
1602,-86.3611
1603,-86.3613
1604,-86.3616
1605,-86.3618
1606,-86.3621
1607,-86.3623
1608,-86.3626
1609,-86.3628
1610,-86.3631
1611,-86.3633
1612,-86.3636
1613,-86.3638
1614,-86.3641
1615,-86.3643
1616,-86.3645
1617,-86.3648
1618,-86.365
1619,-86.3652
1620,-86.3654
1621,-86.3657
1622,-86.3659
1623,-86.3661
1624,-86.3663
1625,-86.3665
1626,-86.3668
1627,-86.367
1628,-86.3672
1629,-86.3674
1630,-86.3676
1631,-86.3678
1632,-86.368
1633,-86.3682
1634,-86.3684
1635,-86.3686
1636,-86.3688
1637,-86.369
1638,-86.3692
1639,-86.3694
1640,-86.3696
1641,-86.3698
1642,-86.37
1643,-86.3702
1644,-86.3704
1645,-86.3706
1646,-86.3707
1647,-86.3709
1648,-86.3711
1649,-86.3713
1650,-86.3715
1651,-86.3716
1652,-86.3718
1653,-86.372
1654,-86.3722
1655,-86.3723
1656,-86.3725
1657,-86.3727
1658,-86.3728
1659,-86.373
1660,-86.3732
1661,-86.3733
1662,-86.3735
1663,-86.3736
1664,-86.3738
1665,-86.374
1666,-86.3741
1667,-86.3743
1668,-86.3744
1669,-86.3746
1670,-86.3747
1671,-86.3749
1672,-86.375
1673,-86.3752
