environment | time (millisecond),membrane | V (millivolt)
1528,-86.3492
1529,-86.3496
1530,-86.35
1531,-86.3504
1532,-86.3507
1533,-86.3511
1534,-86.3515
1535,-86.3518
1536,-86.3522
1537,-86.3526
1538,-86.3529
1539,-86.3533
1540,-86.3536
1541,-86.3539
1542,-86.3543
1543,-86.3546
1544,-86.355
1545,-86.3553
1546,-86.3556
1547,-86.356
1548,-86.3563
1549,-86.3566
1550,-86.3569
1551,-86.3572
1552,-86.3576
1553,-86.3579
1554,-86.3582
1555,-86.3585
1556,-86.3588
1557,-86.3591
1558,-86.3594
1559,-86.3597
1560,-86.36
1561,-86.3603
1562,-86.3605
1563,-86.3608
1564,-86.3611
1565,-86.3614
1566,-86.3617
1567,-86.362
1568,-86.3622
1569,-86.3625
1570,-86.3628
1571,-86.363
1572,-86.3633
1573,-86.3636
1574,-86.3638
1575,-86.3641
1576,-86.3643
1577,-86.3646
1578,-86.3648
1579,-86.3651
1580,-86.3653
1581,-86.3656
1582,-86.3658
1583,-86.3661
1584,-86.3663
1585,-86.3666
1586,-86.3668
1587,-86.367
1588,-86.3673
1589,-86.3675
1590,-86.3677
1591,-86.3679
1592,-86.3682
1593,-86.3684
1594,-86.3686
1595,-86.3688
1596,-86.369
1597,-86.3693
1598,-86.3695
1599,-86.3697
1600,-86.3699
1601,-86.3701
1602,-86.3703
1603,-86.3705
1604,-86.3707
1605,-86.3709
1606,-86.3711
1607,-86.3713
1608,-86.3715
1609,-86.3717
1610,-86.3719
1611,-86.3721
1612,-86.3723
1613,-86.3725
1614,-86.3727
1615,-86.3729
1616,-86.3731
1617,-86.3732
1618,-86.3734
1619,-86.3736
1620,-86.3738
1621,-86.374
1622,-86.3741
1623,-86.3743
1624,-86.3745
1625,-86.3747
1626,-86.3748
1627,-86.375
1628,-86.3752
1629,-86.3753
1630,-86.3755
1631,-86.3757
1632,-86.3758
1633,-86.376
1634,-86.3761
1635,-86.3763
1636,-86.3765
1637,-86.3766
1638,-86.3768
1639,-86.3769
1640,-86.3771
1641,-86.3772
1642,-86.3774
1643,-86.3775
1644,-86.3777
1645,-86.3778
1646,-86.378
1647,-86.3781
1648,-86.3783
1649,-86.3784
1650,-86.3786
1651,-86.3787
1652,-86.3788
1653,-86.379
1654,-86.3791
1655,-86.3793
1656,-86.3794
1657,-86.3795
1658,-86.3797
1659,-86.3798
1660,-86.3799
1661,-86.3801
1662,-86.3802
1663,-86.3803
1664,-86.3804
1665,-86.3806
1666,-86.3807
1667,-86.3808
1668,-86.3809
1669,-86.3811
1670,-86.3812
1671,-86.3813
1672,-86.3814
1673,-86.3815
1674,-86.3817
1675,-86.3818
1676,-86.3819
1677,-86.382
1678,-86.3821
1679,-86.3822
1680,-86.3824
1681,-86.3825
1682,-86.3826
1683,-86.3827
1684,-86.3828
1685,-86.3829
1686,-86.383
1687,-86.3831
1688,-86.3832
1689,-86.3833
1690,-86.3834
1691,-86.3835
1692,-86.3836
1693,-86.3837
1694,-86.3839
1695,-86.384
1696,-86.3841
1697,-86.3842
1698,-86.3843
1699,-86.3843
1700,-86.3844
1701,-86.3845
1702,-86.3846
1703,-86.3847
1704,-86.3848
1705,-86.3849
1706,-86.385
1707,-86.3851
1708,-86.3852
1709,-86.3853
1710,-86.3854
1711,-86.3855
1712,-86.3856
1713,-86.3856
1714,-86.3857
